ID,大学,調査時期,学年,年齢,性別,居場所1,居場所2,居場所3,居場所4,居場所5,居場所6,居場所7,居場所8,居場所9,居場所10,居場所11,居場所12,居場所13,居場所14,居場所15,居場所16,居場所17,居場所18,居場所19,居場所20,居場所21,居場所22,居場所23,SS1,SS2,SS3,SS4,SS5,SS6,SS7,SS8,SS9,SS10,SS11,SS12,SS13,SS14,SS15,SS16,SS17,SS18,SS19,SS20,SS21,SS22,SS23,SS24,SS25,SS26,SS27,SS28,SS29,SS30,SS31,SS32,SS33,SS34,SS35,友人1,友人2,友人3,友人4,友人5,友人6,友人7,友人8,友人9,友人10,友人11,友人12,友人13,友人14,友人15,友人16,友人17,友人18,友人19,友人20,友人21,友人22,友人23,友人24,友人25,友人26,友人27,友人28,友人29,友人30,友人31,友人32,友人33,SS14R,SS10R,SS23R,SS33R,社会的居場所,個人的居場所,ソーシャルスキル,感情統制を除くソーシャルスキル,傷つけられ回避,距離確保,礼儀,傷つけ回避,Z関係開始,Z解読,Z主張性,Z感情統制,Z関係維持,Z記号化,Z社会的居場所,Z個人的居場所,Zソーシャルスキル5下位尺度版,Z傷つけられ回避,Z距離確保,Z礼儀,Z傷つけ回避,友人との付き合い方
367,3,3,2,19,2,3,4,4,4,3,3,4,3,4,3,3,3,3,2,3,4,4,3,4,3,2,4,3,2,3,3,4,3,3,3,3,3,1,3,3,3,3,4,1,2,2,2,2,4,4,2,3,2,2,3,2,3,3,2,3,2,3,3,4,3,2,4,2,2,5,2,4,3,4,4,5,2,5,4,5,3,3,4,5,5,4,2,4,1,3,2,2,3,4,4,3,2,4,3,3,3.066666667,3.75,2.845238095,2.709677419,2.888888889,2.285714286,4.444444444,3.75,0.239575842,0.582006047,0.218546859,1.677442522,0.697861905,-1.03515048,-0.018621969,1.086579432,0.277184473,-0.172850441,-0.413972945,0.892790075,0.503839184,5
368,3,3,2,20,2,4,4,3,4,3,3,3,3,3,4,3,4,4,4,4,4,3,3,4,4,3,4,3,4,4,3,2,3,3,4,3,3,3,4,3,3,3,3,3,4,4,3,3,4,3,3,3,4,3,3,2,2,3,3,3,3,3,4,3,2,2,3,3,2,4,2,3,2,2,2,2,2,3,4,4,3,3,2,3,4,2,2,3,2,3,2,2,2,2,2,3,2,2,2,2,3.6,3.375,3.020833333,3.193548387,2.111111111,2.285714286,3.333333333,2.5,1.347937513,0.81572501,1.051513711,-0.586629237,0.697861905,1.110893198,0.88280759,0.468890169,1.492846103,-1.122198247,-0.413972945,-1.078304895,-1.329704024,2
369,3,3,2,19,2,3,3,3,3,3,2,2,2,2,3,3,3,2,3,3,3,2,3,2,4,2,3,3,3,3,3,3,2,2,2,3,3,2,3,3,2,2,2,2,3,3,3,3,3,3,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,4,4,2,1,5,1,3,2,2,3,4,2,4,4,4,3,3,2,3,4,3,2,4,2,2,2,2,2,2,3,2,3,3,3,2,2.866666667,2.375,2.758928571,2.741935484,2.555555556,1.714285714,3.666666667,3,0.609029732,0.348287083,-0.059108759,0.545406642,-0.411878407,0.252475727,-0.356658054,-1.178281199,0.358228581,-0.579713787,-1.071540647,-0.486976404,-0.596286741,2
370,3,3,2,21,2,4,2,3,3,4,3,4,4,3,3,4,4,4,4,3,3,4,4,4,4,2,3,4,3,1,2,3,2,2,3,3,4,3,2,3,3,3,2,2,2,2,3,2,3,3,2,3,2,2,2,2,3,3,3,3,2,3,2,5,3,3,4,2,1,5,1,2,1,3,2,2,1,3,5,4,5,4,4,5,5,3,2,3,1,1,1,1,3,4,3,3,2,2,3,3,3.6,3.25,2.613095238,2.483870968,2,1.428571429,4.444444444,3.375,-0.684058884,-0.119150844,-0.059108759,0.545406642,0.697861905,-0.176733009,0.88280759,0.262993748,-0.290124288,-1.257819363,-1.400324499,0.892790075,-0.046223778,5
371,3,3,2,19,1,3,3,3,3,3,3,2,3,3,3,3,3,4,4,4,2,3,3,3,3,3,3,3,3,2,1,3,2,2,2,3,4,3,3,3,2,3,2,2,3,2,3,2,3,4,2,2,2,2,3,2,3,2,3,3,2,3,2,3,2,4,4,2,2,4,2,3,2,2,4,3,2,4,4,4,4,4,4,4,4,3,3,4,2,3,2,2,3,3,2,3,2,2,3,3,3.2,2.75,2.62797619,2.483870968,2.777777778,2.142857143,4,3.125,-0.684058884,0.114568119,-0.614419994,0.545406642,0.697861905,0.252475727,0.206735421,-0.560591936,-0.290124288,-0.308471556,-0.57836487,0.104352087,-0.41293242,2
372,3,3,2,20,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,2,3,3,1,3,3,3,3,4,3,2,3,3,3,2,3,2,3,3,3,3,2,3,2,2,3,2,2,3,3,3,2,3,3,3,3,2,5,2,2,5,4,4,5,4,4,4,4,4,4,4,4,4,5,5,5,3,2,5,3,3,2,2,4,4,4,3,2,1,3,3,2.933333333,3,2.636904762,2.612903226,3.444444444,2.857142857,4.555555556,3.625,-0.314604993,0.348287083,0.218546859,0.168061349,0.142991749,-0.176733009,-0.243979359,-0.148799094,0.034052147,0.505255135,0.243594758,1.089899572,0.320484863,4
201,4,4,3,24,1,3,2,1,2,1,2,1,3,2,3,2,2,2,2,2,1,1,1,1,3,1,2,3,2,2,3,3,3,4,3,2,4,2,3,2,3,4,4,2,3,2,2,4,3,3,2,2,2,2,3,2,1,4,3,3,3,3,4,4,2,3,4,3,2,4,2,5,3,3,2,4,5,3,5,4,3,4,4,4,5,3,3,4,1,2,2,4,4,3,3,1,1,3,3,2,2.2,1.25,2.75,2.709677419,3.555555556,2.142857143,4,3.125,0.054848897,-0.119150844,1.051513711,0.545406642,0.697861905,-0.605941745,-1.483445002,-3.031348988,0.277184473,0.64087625,-0.57836487,0.104352087,-0.41293242,5
202,4,4,4,24,1,3,3,3,3,3,3,2,2,2,3,2,2,2,2,3,3,3,2,4,3,3,2,2,2,2,3,3,2,2,3,2,3,3,3,2,3,2,3,2,2,2,3,2,3,3,2,3,2,2,3,3,3,3,2,3,2,3,2,4,4,3,4,2,2,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,3,1,3,5,4,4,2,3,2,3,3,2.533333333,2.75,2.571428571,2.548387097,3.777777778,2.285714286,3.888888889,3.75,0.054848897,0.348287083,-0.059108759,0.545406642,0.142991749,-1.464359216,-0.920051528,-0.560591936,-0.128036071,0.912118481,-0.413972945,-0.09275741,0.503839184,4
203,4,4,4,22,1,4,4,4,3,3,3,4,3,3,3,3,2,3,2,3,3,4,3,4,3,4,4,3,4,1,1,2,1,2,3,3,4,2,3,3,4,3,4,4,3,3,3,4,3,4,1,3,1,3,3,1,2,2,2,2,1,2,4,2,2,2,1,4,4,2,5,1,1,3,2,1,2,5,5,4,3,1,3,4,5,2,1,5,4,2,1,2,2,2,2,1,2,3,4,4,3,3.75,2.883928571,2.709677419,1.666666667,3.285714286,3.555555556,2,-0.868785829,-0.119150844,1.884480564,1.300097229,0.697861905,0.252475727,-0.131300664,1.086579432,0.277184473,-1.664682708,0.736770535,-0.684085901,-2.063121308,2
204,4,4,4,21,1,3,3,3,3,2,2,3,2,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,2,3,3,2,2,3,2,4,3,3,3,3,1,2,2,2,2,3,3,3,3,3,3,3,2,1,3,3,2,2,3,2,2,3,3,3,4,2,2,2,2,4,3,4,3,4,4,4,3,4,4,4,4,2,4,4,3,4,3,4,4,2,3,2,4,4,2,3,3,2,2,3,2.8,2.75,2.520833333,2.580645161,3,2.857142857,3.666666667,3.5,0.609029732,0.348287083,-0.892075612,-0.209283944,-0.966748564,-0.176733009,-0.469336749,-0.560591936,-0.046991962,-0.037229326,0.243594758,-0.486976404,0.137130542,1
205,4,4,4,21,1,4,4,3,3,3,3,4,3,3,4,3,4,3,3,4,4,3,3,4,4,2,3,3,4,4,4,1,3,4,3,4,3,4,4,2,3,2,3,1,4,4,4,4,4,4,4,4,4,1,4,3,4,2,3,2,4,4,4,5,3,5,2,2,1,5,1,2,1,1,1,1,1,5,5,4,3,1,4,2,5,4,1,2,1,1,1,1,1,4,1,1,3,1,1,1,3.4,3.25,2.943452381,3.35483871,1.555555556,1.142857143,3.888888889,2.625,1.902118349,2.451757756,-0.336764376,-2.096010411,0.142991749,1.540101934,0.544771505,0.262993748,1.898066646,-1.800303823,-1.72910835,-0.09275741,-1.146349704,5
206,4,4,4,21,2,4,3,3,2,3,3,2,2,3,2,3,3,3,3,2,2,2,2,2,3,3,3,3,2,2,1,3,2,2,2,3,3,4,2,3,2,4,3,2,3,2,2,3,2,2,2,2,1,2,2,1,1,3,3,3,2,3,3,4,3,2,4,2,2,3,3,5,3,2,4,4,4,2,5,4,4,5,2,3,4,3,3,5,2,3,3,3,3,4,4,4,1,1,3,3,2.733333333,2.5,2.324404762,2.193548387,3.444444444,2.428571429,3.444444444,4,-1.053512774,-1.287745662,0.218546859,0.168061349,-0.966748564,-0.176733009,-0.582015443,-0.972384778,-1.019521267,0.505255135,-0.249581019,-0.881195398,0.870547826,1
207,4,4,3,21,1,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,2,1,1,4,2,2,2,2,4,3,2,2,1,4,2,2,2,2,2,1,3,3,2,3,1,2,2,1,2,2,2,3,2,3,2,3,2,4,4,5,4,4,5,4,4,2,4,3,3,5,5,5,5,4,4,4,5,3,3,5,3,3,2,3,2,3,3,3,1,2,3,3,4,3.5,2.244047619,2,3.333333333,3.428571429,4.555555556,3.25,-1.422966665,-0.586588772,-1.447386847,0.922751936,0.142991749,-1.464359216,1.558879759,0.67478659,-1.505785919,0.36963402,0.901162461,1.089899572,-0.229578099,4
