duration,GCB_1,GCB_2,GCB_3,GCB_4,GCB_5,GCB_6,GCB_7,GCB_8,GCB_9,GCB_10,GCB_11,GCB_12,GCB_13,GCB_14,GCB_15,BCTI_1,BCTI_2,BCTI_3,BCTI_4,BCTI_5,BCTI_6,BCTI_7,BCTI_8,BCTI_9,BCTI_10,BCTI_11,BCTI_12,BCTI_13,BCTI_14,BCTI_15,SIC,gender,age,edu_lv,employment,f.Gender,rndSel
610,2,2,5,4,4,3,4,4,5,5,4,4,1,1,5,5,7,7,9,7,1,4,9,6,2,8,8,7,3,8,8,2,31,2,6,Women,1
1141,2,2,2,2,2,2,4,2,4,3,3,4,3,3,3,2,3,5,2,5,4,5,3,5,5,2,5,2,7,3,7,2,38,3,6,Women,1
1051,2,4,4,3,1,3,4,4,5,2,3,4,4,2,4,6,6,4,4,6,2,6,5,7,7,6,6,4,6,4,7,2,41,3,6,Women,1
490,1,3,3,1,4,1,2,3,4,2,1,1,2,3,4,5,5,6,3,5,1,6,2,6,5,3,5,5,4,5,6,1,38,1,3,Men,1
889,2,3,5,3,2,2,4,4,5,4,2,4,3,2,4,4,5,5,3,5,8,6,4,4,6,5,5,5,6,4,5,2,34,2,6,Women,1
1276,1,2,1,1,2,1,1,2,3,2,2,1,2,2,4,1,2,7,1,1,2,3,1,7,3,2,5,2,6,2,6,1,58,4,3,Men,1
937,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,5,5,7,5,6,6,5,7,5,7,6,5,7,1,35,2,1,Men,1
1078,4,4,1,2,2,3,3,1,4,4,4,3,1,3,5,4,5,8,5,4,4,1,4,7,1,4,5,4,4,5,7,2,47,4,7,Women,1
479,5,5,5,2,5,2,5,5,5,5,4,5,2,5,5,8,2,9,8,9,2,5,8,8,9,9,8,5,2,9,9,1,30,4,2,Men,1
506,3,3,1,2,2,3,3,3,3,4,3,3,2,3,5,5,6,9,2,6,5,4,6,5,5,3,3,5,9,1,6,1,42,4,3,Men,1
