"","ID","Sample_Environment","Gender","Age","RT_Mirror_0","RT_Mirror_60","RT_Mirror_120","RT_Mirror_180","RT_Mirror_240","RT_Mirror_300","RT_Normal_0","RT_Normal_60","RT_Normal_120","RT_Normal_180","RT_Normal_240","RT_Normal_300","Error_rates_Mirror_0","Error_rates_Mirror_60","Error_rates_Mirror_120","Error_rates_Mirror_180","Error_rates_Mirror_240","Error_rates_Mirror_300","Error_rates_Normal_0","Error_rates_Normal_60","Error_rates_Normal_120","Error_rates_Normal_180","Error_rates_Normal_240","Error_rates_Normal_300"
"32","C38","CW","M",38,398.68,649.92,1056.07,1061.56,545.6,636.56,382.99,389.86,422.61,1119.87,555.66,345.2,0,0,0,0,0,0,0,0,0,0,0,0
"33","C39","CW","M",24,410.23,377.67,558.29,692.04,517.26,455.37,343.35,231.08,371.87,582.89,404.61,356.28,0,0,0,0,0,0.17,0,0,0,0.17,0,0.17
"34","C40","CW","M",52,1985.77,1966.21,2445.76,2118.32,3071.41,2856.65,1070.96,3095.07,7016,NA,3967.74,NA,0,0,0,0,0,0,0,0.67,0.83,1,0.67,1
"35","C42","CW","M",33,504.24,702.73,1266.24,1633.52,1274.27,858.35,462.94,472.56,601.03,1227.47,476.98,470.5,0,0,0.17,0.17,0,0.17,0,0,0,0,0,0
"36","C43","CW","F",24,311.4,309.46,406.49,377.42,373.31,355.76,305.45,328.14,433.97,491.88,329.11,420,0,0,0,0,0,0,0,0,0,0.17,0,0
"37","C44","CW","M",42,395.15,876.69,1371.36,2007.48,738.91,711.7,430.98,678.57,539.29,1076.07,474.25,385.86,0.17,0,0,0,0,0,0,0,0.17,0,0,0
"38","C45","CW","M",44,406.97,434.97,456.93,626.64,398.19,446.81,237.65,265.74,306.4,1000.26,641.85,281.54,0,0,0,0,0,0,0,0,0,0,0,0
"39","C47","CW","M",45,491.18,709.26,676.1,800.74,473.38,470.03,229.95,280.05,377.21,589.38,347.06,263.48,0,0,0,0,0,0,0,0,0,0,0,0
"40","C48","CW","F",42,862.34,1056.82,1228.43,1549.95,1073.1,990.73,661.43,663.82,884.91,1137.37,609.04,638.87,0,0,0,0,0,0,0,0,0,0,0,0
"41","C49","CW","M",63,1741.47,1877.35,1897.21,1700.86,1762.14,2009.9,1548.99,2116.75,1776.42,1695.82,1706.55,1697.11,0,0,0,0,0,0,0,0,0,0,0,0
"42","C50","CW","F",24,1101.18,1585.87,1191.07,2250.07,886.04,950.66,476.22,1103.24,1312.68,1655.96,1304.55,764.7,0,0,0,0,0,0.17,0,0,0,0,0.17,0
"43","C51","CW","M",52,1266.27,626.55,1186.5,1960.19,1502.04,817.05,384.92,462.16,954.41,1471.63,967.16,521.21,0,0,0,0,0.17,0,0,0,0,0,0,0
"44","C52","CW","M",37,704.59,1363.79,874.3,3219.49,1125.65,762.87,467.14,849.3,1207.78,1365.81,1075.96,584.47,0,0,0.17,0.5,0,0.17,0,0,0,0,0.17,0
"45","C53","CW","M",25,600.91,443.49,919.93,869.65,1212.02,534.41,281.93,399.12,529.11,958.48,750.07,349.54,0,0,0,0,0.17,0,0,0,0,0,0,0
